delay-type,run_for,time_taken
CarrierDelay,1,7.513177394866943
CarrierDelay,2,7.547639608383179
CarrierDelay,3,7.836453199386597
CarrierDelay,4,8.773438453674316
CarrierDelay,5,9.176563262939453
